ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
6167,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/sendcommand.php,200,OK,579,221,543
6168,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,GET,http://testphp.vulnweb.com/AJAX/infocateg.php?id=any%3F%0ASet-cookie%3A+Tamper%3Dd0e56833-b3f3-4883-a078-a9ca481af9d6,200,OK,573,219,210
6169,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,302,Found,548,244,14
6170,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,555,222,5518
6171,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,568,221,230
6172,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/cart.php,200,OK,579,222,2267
6173,Sun May 18 14:01:17 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,591,222,6028
6174,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/sendcommand.php,200,OK,559,221,543
6175,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:18 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=Set-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a,200,OK,559,222,2264
6176,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:18 PKT 2025,GET,http://testphp.vulnweb.com/AJAX/infocateg.php?id=any%0D%0ASet-cookie%3A+Tamper%3Dd0e56833-b3f3-4883-a078-a9ca481af9d6%0D%0A,200,OK,584,219,208
6177,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,302,Found,564,244,14
6178,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,569,222,5520
6179,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:18 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,580,221,232
6180,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/cart.php,200,OK,583,222,2265
6181,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,561,222,6030
6182,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/sendcommand.php,200,OK,562,221,543
6183,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=any%0D%0ASet-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a,200,OK,565,222,2264
6184,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,302,Found,538,244,14
6185,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,GET,http://testphp.vulnweb.com/AJAX/infocateg.php?id=any%3F%0D%0ASet-cookie%3A+Tamper%3Dd0e56833-b3f3-4883-a078-a9ca481af9d6%0D%0A,200,OK,563,219,211
6186,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,560,222,5521
6187,Sun May 18 14:01:18 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,584,221,233
6188,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/cart.php,200,OK,560,222,2268
6189,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:19 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,591,222,6031
6190,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=any%3F%0D%0ASet-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a,200,OK,563,222,2267
6191,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/images,301,Moved Permanently,577,209,169
6192,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=Set-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f,404,Not Found,582,227,16
6193,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:20 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,551,221,225
6194,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:20 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,565,222,5462
6195,Sun May 18 14:01:19 PKT 2025,Sun May 18 14:01:20 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,587,222,6046
6196,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=Set-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed,200,OK,279,222,2230
6197,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=any%0ASet-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a,200,OK,569,222,2264
6198,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=any%0D%0ASet-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f,404,Not Found,531,227,16
6199,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=Set-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e,200,OK,547,222,2230
6200,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,558,221,230
6201,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,565,222,5462
6202,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,563,222,6051
6203,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:20 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=any%0D%0ASet-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed,200,OK,566,222,2230
6204,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=Set-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30,200,OK,570,222,2587
6205,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=any%3F%0ASet-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a,200,OK,560,222,2266
6206,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=any%3F%0D%0ASet-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f,404,Not Found,544,227,16
6207,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=any%0D%0ASet-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e,200,OK,541,222,2230
6208,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,572,221,231
6209,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,565,222,5462
6210,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,578,222,6052
6211,Sun May 18 14:01:20 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=any%3F%0D%0ASet-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed,200,OK,539,222,2233
6212,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=any%0D%0ASet-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30,200,OK,552,222,2587
6213,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=any%0D%0ASet-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a%0D%0A,200,OK,565,222,2264
6214,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=any%0ASet-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f,404,Not Found,541,227,16
6215,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=any%3F%0D%0ASet-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e,200,OK,560,222,2233
6216,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,549,221,229
6217,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,582,222,5462
6218,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:21 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,557,222,6050
6219,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=any%0ASet-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed,200,OK,539,222,2230
6220,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=any%3F%0D%0ASet-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30,200,OK,567,222,2590
6221,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/artists.php?artist=any%3F%0D%0ASet-cookie%3A+Tamper%3D81b21787-2072-4f76-95f8-fd61d36a752a%0D%0A,200,OK,571,222,2267
6222,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=any%3F%0ASet-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f,404,Not Found,608,227,16
6223,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=any%0ASet-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e,200,OK,595,222,2230
6224,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,592,221,230
6225,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,586,222,5462
6226,Sun May 18 14:01:21 PKT 2025,Sun May 18 14:01:22 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,544,222,6051
6227,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=any%3F%0ASet-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed,200,OK,611,222,2232
6228,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=any%0ASet-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30,200,OK,547,222,2587
6229,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=Set-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4,200,OK,566,207,275
6230,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=any%0D%0ASet-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f%0D%0A,404,Not Found,547,227,16
6231,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:22 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=any%3F%0ASet-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e,200,OK,572,222,2232
6232,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,576,221,232
6233,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,565,222,5462
6234,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,589,222,6053
6235,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=any%0D%0ASet-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed%0D%0A,200,OK,526,222,2230
6236,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=any%3F%0ASet-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30,200,OK,566,222,2589
6237,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%0D%0ASet-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4,200,OK,549,207,280
6238,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/comment.php?pid=any%3F%0D%0ASet-cookie%3A+Tamper%3D22689adf-7243-427c-9983-8c08ac6a173f%0D%0A,404,Not Found,534,227,16
6239,Sun May 18 14:01:22 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=any%0D%0ASet-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e%0D%0A,200,OK,559,222,2230
6240,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:23 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,542,221,233
6241,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:23 PKT 2025,POST,http://testphp.vulnweb.com/guestbook.php,200,OK,557,222,5462
6242,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:23 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,566,222,6054
6243,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?artist=any%3F%0D%0ASet-cookie%3A+Tamper%3Dc0410d8f-9a40-44d5-a5ef-6e44712fd8ed%0D%0A,200,OK,539,222,2233
6244,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=any%0D%0ASet-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30%0D%0A,200,OK,561,222,2587
6245,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:23 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%3F%0D%0ASet-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4,200,OK,535,207,281
6246,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:24 PKT 2025,GET,http://testphp.vulnweb.com/listproducts.php?cat=any%3F%0D%0ASet-cookie%3A+Tamper%3D129540fd-9098-478b-a36d-0b87bce8d43e%0D%0A,200,OK,533,222,2233
6247,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:24 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=Set-cookie%3A+Tamper%3Dcc1d1126-321b-4eb8-85bc-b232773046e4&size=160,200,OK,545,207,275
6248,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:24 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,560,221,225
6249,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:24 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,566,222,6055
6250,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:24 PKT 2025,GET,http://testphp.vulnweb.com/product.php?pic=any%3F%0D%0ASet-cookie%3A+Tamper%3D112a561d-7b0d-4339-b2c2-31736c968a30%0D%0A,200,OK,552,222,2590
6251,Sun May 18 14:01:23 PKT 2025,Sun May 18 14:01:24 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%0ASet-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4,200,OK,537,207,279
6252,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:24 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%0D%0ASet-cookie%3A+Tamper%3Dcc1d1126-321b-4eb8-85bc-b232773046e4&size=160,200,OK,529,207,280
6253,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:24 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,558,221,230
6254,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:24 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,571,222,6060
6255,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:25 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%3F%0ASet-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4,200,OK,543,207,280
6256,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:25 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%3F%0D%0ASet-cookie%3A+Tamper%3Dcc1d1126-321b-4eb8-85bc-b232773046e4&size=160,200,OK,569,207,281
6257,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:25 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,557,221,231
6258,Sun May 18 14:01:24 PKT 2025,Sun May 18 14:01:25 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,553,222,6061
6259,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:25 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%0D%0ASet-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4%0D%0A,200,OK,546,207,282
6260,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:25 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%0ASet-cookie%3A+Tamper%3Dcc1d1126-321b-4eb8-85bc-b232773046e4&size=160,200,OK,549,207,279
6261,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:25 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,535,221,229
6262,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:25 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,562,222,6059
6263,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:26 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%3F%0D%0ASet-cookie%3A+Tamper%3Def01f0f3-3b1f-4b74-a42d-b2ac9c98bfc4%0D%0A,200,OK,553,207,283
6264,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:26 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%3F%0ASet-cookie%3A+Tamper%3Dcc1d1126-321b-4eb8-85bc-b232773046e4&size=160,200,OK,563,207,280
6265,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:26 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,562,221,230
6266,Sun May 18 14:01:25 PKT 2025,Sun May 18 14:01:26 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,577,222,6060
6267,Sun May 18 14:01:26 PKT 2025,Sun May 18 14:01:26 PKT 2025,GET,http://testphp.vulnweb.com/showimage.php?file=any%0D%0ASet-cookie%3A+Tamper%3Dcc1d1126-321b-4eb8-85bc-b232773046e4%0D%0A&size=160,200,OK,550,207,282
6268,Sun May 18 14:01:26 PKT 2025,Sun May 18 14:01:26 PKT 2025,POST,http://testphp.vulnweb.com/AJAX/showxml.php,200,OK,569,221,232
6269,Sun May 18 14:01:26 PKT 2025,Sun May 18 14:01:27 PKT 2025,POST,http://testphp.vulnweb.com/userinfo.php,200,OK,572,222,6062
